d_name,model_name,split_idx,n_splits,random_state,fit_time,test_size,bias,variance,error_test_mse,avg_test_auc,avg_test_aupr,avg_test_acc,avg_test_logloss,n_subsamples,subsample_ratio
onlinenews,mlr,0,5,1377,23.96695709228516,0.15,131215.65783880904,111437.26452524734,242652.9223640564,0.0,0.0,0.0,0.0,8,0.5
onlinenews,rf-n1000,0,5,1377,1614.8786616325378,0.15,0.02924333382377673,0.03184787224651084,0.061091206070287535,0.0,0.0,0.0,0.0,8,0.5
onlinenews,spline-v2,0,5,1377,2537.8255903720856,0.15,25338.52867584228,3743.845793853255,29082.374469695533,0.0,0.0,0.0,0.0,8,0.5
onlinenews,xgb-d1-o20-cv,0,5,1377,6363.4014422893515,0.15,0.10007947932181888,0.09527281,0.19535245616905236,0.0,0.0,0.0,0.0,8,0.5
onlinenews,xgb-d3,0,5,1377,15.376876592636108,0.15,0.3165193710896045,2.5388912999999995,2.855410231868368,0.0,0.0,0.0,0.0,8,0.5
mimicii,xgb-d1-o20-cv,0,5,1377,194.2389180660248,0.15,0.08776877043599147,0.000665618188944102,0.08843438862493558,0.8171697138725338,0.413381949979884,0.884620614631493,0.29598638051657045,8,0.5
mimicii,xgb-d3,0,5,1377,6.823745012283325,0.15,0.08520473856110768,0.0020644986,0.08726923714977684,0.8273171246083393,0.4316092723919043,0.8841446831656241,0.2912121126738915,8,0.5
mimicii,xgb-d3-o20,0,5,1377,503.5685017108917,0.15,0.08765773677651739,0.0040780087142693305,0.09173574549078672,0.8203624797713736,0.421502953688761,0.882478923035083,0.32259363908818106,8,0.5
mimicii,rf-n1000,0,5,1377,156.54858732223508,0.15,0.0840420362812755,0.001142750433437585,0.08518478671471308,0.8373643390834279,0.4532886309611781,0.8872722327984771,0.2827643691837295,8,0.5
mimicii,xgb-d1-o20-cv,1,5,1377,205.5538763999939,0.15,0.08800573725765745,0.0006362474054604082,0.08864198466311787,0.8290693971008505,0.4059933545700135,0.8816290454174599,0.2936407301723675,8,0.5
mimicii,xgb-d3,1,5,1377,6.439121007919312,0.15,0.08551473060166337,0.0023138737,0.08782860436590148,0.8367847243742037,0.4245188225361805,0.8812211041610007,0.28983559300904804,8,0.5
mimicii,xgb-d3-o20,1,5,1377,508.58342242240906,0.15,0.08823893259800902,0.003971383240804466,0.0922103158388135,0.8307745411975347,0.4240782884666656,0.8801672559151483,0.3180747113840993,8,0.5
mimicii,rf-n1000,1,5,1377,160.9219090938568,0.15,0.08296497280391622,0.0010690631629045415,0.08403403596682077,0.8479337964397617,0.45709272199452294,0.8850965460973619,0.2813269054675156,8,0.5
mimicii,xgb-d1-o20-cv,2,5,1377,192.08438777923584,0.15,0.0854709359120512,0.0005404730700768516,0.08601140898212803,0.8283536480391145,0.4447164819833835,0.8872382376937721,0.2884718172134624,8,0.5
mimicii,xgb-d3,2,5,1377,4.894614219665527,0.15,0.0826192348442354,0.0017457773,0.08436501211091017,0.8317267499913921,0.4698608036633986,0.8895159097090021,0.2844600070943929,8,0.5
mimicii,ebm-bf-o50,0,5,1377,168.7864899635315,0.15,0.08746144334906461,0.0006536876936118054,0.0881151310426764,0.8189209964535344,0.4123081363601625,0.8848245852597225,0.2954573066162035,8,0.5
mimicii,xgb-d3-o20,2,5,1377,489.01068210601807,0.15,0.08296292845866365,0.0039317401997052475,0.0868946686583689,0.8282783286850531,0.4707162293897264,0.8887000271960839,0.3080039841417711,8,0.5
mimicii,ebm-o50-i50,0,5,1377,581.5710196495056,0.15,0.0874099139804799,0.0007033729875848364,0.08811328696806474,0.8189295183004511,0.4149286263264974,0.8845526244220832,0.29523187549632424,8,0.5
mimicii,rf-n1000,2,5,1377,155.57867884635925,0.15,0.08111887050839679,0.001127786990923307,0.08224665749932009,0.846824492993148,0.496942317633854,0.8914876257818873,0.2784654877651783,8,0.5
mimicii,xgb-d1-o20-cv,3,5,1377,186.4286448955536,0.15,0.08502175811951597,0.0005866546396106111,0.0856084127591266,0.8393469166408429,0.443393561248546,0.884178678270329,0.2845021389641936,8,0.5
mimicii,xgb-d3,3,5,1377,5.3194801807403564,0.15,0.08180357789638461,0.0018602273999999998,0.08366380548963917,0.8454577695141687,0.4675166698672648,0.8878161544737557,0.279289354768693,8,0.5
mimicii,xgb-d3-o20,3,5,1377,496.82545375823975,0.15,0.08067996798264286,0.003937325532623368,0.08461729351526623,0.8464321867575664,0.4830722932477384,0.8906037530595594,0.2947696238484128,8,0.5
mimicii,rf-n1000,3,5,1377,153.70403051376346,0.15,0.08057078175142779,0.0010697023388632036,0.081640484090291,0.8544682023206969,0.500164990875819,0.8889379929290182,0.2779316116500459,8,0.5
mimicii,flam,0,5,1377,892.7431254386902,0.15,0.08756584894313417,0.0007706365059730291,0.08833648544910723,0.8167766759632269,0.4130777216049887,0.8847565950503127,0.2959488218331972,8,0.5
mimicii,ilr,0,5,1377,74.71739363670348,0.15,0.0914173480707632,0.00210133846821993,0.09351868653898317,0.7909596116103708,0.355344395862822,0.8781615447375578,0.3126421682125116,8,0.5
mimicii,lr,0,5,1377,5.327987909317017,0.15,0.09018504497300378,0.00016114685920549758,0.09034619183220928,0.7823624453396687,0.3923823791142861,0.8839407125373946,0.30943977806819345,8,0.5
mimicii,mlr,0,5,1377,17.462829113006592,0.15,0.09448069218455472,0.00652494086245785,0.10100563304701254,0.7846850359811315,0.3370620948277917,0.8687788958389993,0.3399528804494588,8,0.5
mimicii,xgb-d1-o20-cv,4,5,1377,201.1981282234192,0.15,0.0857473737166666,0.0006464792400413888,0.08639385295670801,0.8404086182556899,0.4337852917357925,0.8845186293173783,0.2856884427915705,8,0.5
mimicii,xgb-d3,4,5,1377,5.771373748779298,0.15,0.08302833668345927,0.002002675,0.08503101156217527,0.8453904555314533,0.4490748442089998,0.886864291542018,0.28284396454793514,8,0.5
mimicii,ebm-bf-o50,1,5,1377,113.71224975585938,0.15,0.08770611851972829,0.0005526634180861038,0.08825878193781439,0.8282732500086079,0.4083522565775765,0.8826488985586076,0.2934777594792504,8,0.5
mimicii,ebm-o50-i50,1,5,1377,366.5438024997711,0.15,0.08812502606372635,0.0005735895252605456,0.0886986155889869,0.8264912371311504,0.4067463201988546,0.8813230894751155,0.2944282364138037,8,0.5
mimicii,xgb-d3-o20,4,5,1377,494.2428798675537,0.15,0.08299579532632725,0.0041371076409950965,0.08713290296732235,0.8386589711806631,0.45873640624306,0.8875781887408214,0.3032778563109819,8,0.5
mimicii,rf-n1000,4,5,1377,155.472003698349,0.15,0.08090703134773593,0.0011205849495172695,0.0820276162972532,0.8548014581826946,0.4947218897937127,0.8901958118031004,0.2777229966250343,8,0.5
mimiciii,xgb-d1-o20-cv,0,5,1377,401.8937466144562,0.15,0.074515825757042,0.0007957834666877392,0.07531160922372973,0.8061089563944228,0.3660140081606164,0.9063794784304168,0.2618146751835676,8,0.5
mimiciii,xgb-d3,0,5,1377,7.593439817428589,0.15,0.07347236232452765,0.0017680556,0.07524041786417487,0.8072860205728603,0.3668651169969295,0.9054350475262004,0.26158518199018205,8,0.5
mimicii,flam,1,5,1377,884.2226428985596,0.15,0.08758241204189136,0.0008156226911714918,0.08839803473306282,0.8261367627311227,0.4089816506480871,0.8820029915692141,0.2937215932941679,8,0.5
mimicii,ilr,1,5,1377,73.54713726043701,0.15,0.09237725972398067,0.0008932139109046066,0.09327047363488528,0.7898305960128086,0.3469004609909801,0.8769377209681806,0.3115592899972741,8,0.5
mimicii,lr,1,5,1377,5.522126913070679,0.15,0.09085679105185213,9.595401452057453e-05,0.09095274506637267,0.7899207209998966,0.3861305597108625,0.8811531139515909,0.3084210386778893,8,0.5
mimicii,mlr,1,5,1377,18.468622684478763,0.15,0.09278892416274948,0.00514623321494435,0.09793515737769384,0.7939040388389631,0.3617477647990972,0.8729262986129998,0.3290026720281197,8,0.5
mimicii,ebm-bf-o50,2,5,1377,107.45365309715271,0.15,0.0853971640907468,0.0005137437562873689,0.08591090784703417,0.8268868574183108,0.44722091428524896,0.8874762034267065,0.2894284578017213,8,0.5
mimiciii,xgb-d3-o20,0,5,1377,552.2120778560638,0.15,0.07585661912099446,0.0017065207288230974,0.07756313984981758,0.8168341088975077,0.3812025045275159,0.9065318059956128,0.2865606446317379,8,0.5
mimicii,ebm-o50-i50,2,5,1377,369.3246834278106,0.15,0.08487699313310004,0.0005331639582933154,0.08541015709139335,0.8283690562269738,0.452383039613239,0.8876461789502311,0.28778322339562223,8,0.5
mimiciii,rf-n1000,0,5,1377,369.71604561805725,0.15,0.07643645539087253,0.000320791014196929,0.07675724640506948,0.7874161617804116,0.35179653552788803,0.9043992200828662,0.26959994105958074,8,0.5
mimiciii,xgb-d1-o20-cv,1,5,1377,408.3408284187317,0.15,0.07429617617310065,0.0008582239253021918,0.07515440009840285,0.8066906295252396,0.3630757532124906,0.9064404094564952,0.2615530561018905,8,0.5
mimiciii,xgb-d3,1,5,1377,7.48828649520874,0.15,0.07369788995207675,0.001670416,0.07536830613116728,0.8115115571776157,0.36035218083876136,0.904886668291494,0.2613440796023941,8,0.5
mimicii,flam,2,5,1377,751.3683445453644,0.15,0.08505729989282526,0.0008132982863537758,0.08587059817917903,0.8274485246014529,0.4461197592568524,0.8866603209137884,0.28866940395914703,8,0.5
mimicii,ilr,2,5,1377,76.4933729171753,0.15,0.08967260389430316,0.0008699435908976098,0.09054254748520076,0.8022414178976001,0.3838343329074887,0.8801672559151483,0.3036151695243519,8,0.5
mimicii,lr,2,5,1377,6.822345495223999,0.15,0.09008413751524873,0.00011325346143945977,0.0901973909766882,0.7899484385221913,0.3974939557791684,0.8854025020397063,0.30669155722496233,8,0.5
mimicii,mlr,2,5,1377,34.716388940811164,0.15,0.08893576361778756,0.005938550010229042,0.0948743136280166,0.8022091381744311,0.3827938838431202,0.8767337503399509,0.3201599060222492,8,0.5
mimicii,ebm-bf-o50,3,5,1377,163.21783328056338,0.15,0.08526888620313154,0.0005091789300307603,0.0857780651331623,0.835728144475433,0.4425898226369263,0.8853005167255915,0.28678920054682244,8,0.5
